Title,Read,Saga,Saga number,Wishlist,Author,Language,Cover,Images,Rating,Review,Annotations
La divina comedia,UNREAD,,,OBTAINED,Dante Alighieri,ES,,,,,
Complete Grimm's Fairy Tales,UNREAD,,,OBTAINED,Hermanos Grimm,ES,,,,,
Romancero Gitano,UNREAD,,,OBTAINED,Federico García Lorca,ES,,,,,
¿Sueñan los androides con ovejas eléctricas?,UNREAD,,,OBTAINED,Philip K. Dick,ES,,,,,
Orgullo y prejuicio,UNREAD,,,OBTAINED,Jane Austen,ES,,,,,
Crónicas marcianas,UNREAD,,,OBTAINED,Ray Bradbury,ES,,,,,
Mundo Anillo,UNREAD,,,OBTAINED,Larry Niven,ES,,,,,
A la sombra de los bárbaros,UNREAD,,,OBTAINED,Ignacio del Valle,ES,,,,,
El número de la bestia,UNREAD,,,OBTAINED,Robert A. Heinlein,ES,,,,,
La serpiente Uróboros,UNREAD,,,OBTAINED,E. R. Eddison,ES,,,,,
La casa en el confín de la tierra,UNREAD,,,OBTAINED,William Hope Hodgson,ES,,,,,
Los ojos de Dios,UNREAD,,,OBTAINED,Rafael Tarradas Bultó,ES,,,,,
El cuarto jinete,UNREAD,,,OBTAINED,Víctor Blázquez,ES,,,,,
Odio el rosa,UNREAD,,,OBTAINED,Ana Alonso & Javier Pelegrín,ES,,,,,
Guerra Mundial Z,UNREAD,,,OBTAINED,Max Brooks,ES,,,,,
Profecía,UNREAD,,,OBTAINED,S. J. Parris,ES,,,,,
El destierro,UNREAD,,,OBTAINED,Alfonso Grosso,ES,,,,,
Look Out for the Little Guy,UNREAD,,,OBTAINED,Scott Lang,ES,,,,,
Fenris el elfo,UNREAD,,,OBTAINED,Laura Gallego,ES,,,,,
El libro de los portales,UNREAD,,,OBTAINED,Laura Gallego,ES,,,,,
Canallas,UNREAD,,,OBTAINED,George R. R. Martin (ed.),ES,,,,,
El priorato del naranjo,UNREAD,,,OBTAINED,Samantha Shannon,ES,,,,,
El día que se abrió el cielo,UNREAD,,,OBTAINED,Samantha Shannon,ES,,,,,
Proyecto Hail Mary,UNREAD,,,OBTAINED,Andy Weir,ES,,,,,
El hombre en el castillo,UNREAD,,,OBTAINED,Philip K. Dick,ES,,,,,
Los libros de Enoc,UNREAD,,,OBTAINED,Tradición apócrifa,ES,,,,,
El atlas de las nubes,UNREAD,,,OBTAINED,David Mitchell,ES,,,,,
Metro 2033,UNREAD,,,OBTAINED,Dimitry Glukhovsky,ES,,,,,
Parque Jurásico,UNREAD,,,OBTAINED,Michael Crichton,ES,,,,,
El Mundo Perdido,UNREAD,,,OBTAINED,Michael Crichton,ES,,,,,
Los judíos y sus mentiras,UNREAD,,,OBTAINED,Martin Lutero,ES,,,,,
American gods,UNREAD,,,OBTAINED,Neil Gaiman,ES,,,,,
Un caso de conciencia,UNREAD,,,OBTAINED,James Blish,ES,,,,,
Farenheit 451,UNREAD,,,OBTAINED,Ray Bradbury,ES,,,,,
